threads,run,time_sec
1,1,52.48823097
1,2,53.005031219
1,3,52.638292131
1,4,52.838001258
1,5,53.755657498
2,1,26.055798317
2,2,27.018810114
2,3,25.876908315
2,4,26.270400385
2,5,26.254566338
3,1,16.109025345
3,2,16.280758847
3,3,17.005600597
3,4,16.279319592
3,5,16.374594233
4,1,13.42337838
4,2,13.449831681
4,3,13.600637105
4,4,13.412442056
4,5,13.384507018
5,1,10.278261609
5,2,10.134025177
5,3,10.050548607
5,4,10.202671919
5,5,10.259767502
6,1,8.455945064
6,2,8.505550184
6,3,8.445347812
6,4,8.377109427
6,5,8.395544013
7,1,7.143245288
7,2,7.152564427
7,3,7.161235398
7,4,7.379096318
7,5,7.376878736
8,1,6.777589191
8,2,6.704029848
8,3,6.385923524
8,4,6.494313448
8,5,6.367967837
