threads,run,time_sec
1,1,44.490116612
1,2,44.97817139
1,3,43.538443799
1,4,45.250776357
1,5,44.551956763
2,1,42.868915578
2,2,27.101358244
2,3,32.63682938
2,4,27.703350543
2,5,32.134982478
3,1,22.16190547
3,2,27.399455279
3,3,33.456372606
3,4,25.946934781
3,5,21.115236269
4,1,19.30014222
4,2,17.218010284
4,3,16.23146318
4,4,15.57346031
4,5,17.048007807
5,1,12.831457082
5,2,16.294693146
5,3,15.448121751
5,4,13.294915488
5,5,13.442851838
6,1,12.799998783
6,2,14.394180682
6,3,14.06214843
6,4,15.102880232
6,5,13.606728786
7,1,11.152666688
7,2,15.017758123
7,3,13.566520533
7,4,11.530065517
7,5,12.947829583
8,1,11.946370416
8,2,10.886731646
8,3,11.136547727
8,4,11.518082487
8,5,12.152064927
