program,threads,run,time_sec
counter_mutex,1,1,0.138735
counter_mutex,1,2,0.141855
counter_mutex,1,3,0.144123
counter_mutex,1,4,0.139771
counter_mutex,1,5,0.139099
counter_mutex,2,1,1.138992
counter_mutex,2,2,1.040987
counter_mutex,2,3,1.171568
counter_mutex,2,4,1.184885
counter_mutex,2,5,1.166493
counter_mutex,4,1,2.361059
counter_mutex,4,2,2.442604
counter_mutex,4,3,2.428112
counter_mutex,4,4,2.441619
counter_mutex,4,5,2.407690
counter_mutex,8,1,4.965913
counter_mutex,8,2,4.790529
counter_mutex,8,3,4.859043
counter_mutex,8,4,4.933385
counter_mutex,8,5,4.970326
counter_mutex,16,1,12.813358
counter_mutex,16,2,12.937671
counter_mutex,16,3,13.088206
counter_mutex,16,4,13.065927
counter_mutex,16,5,12.150076
counter_batched,1,1,0.000063
counter_batched,1,2,0.000055
counter_batched,1,3,0.000057
counter_batched,1,4,0.000053
counter_batched,1,5,0.000076
counter_batched,2,1,0.000086
counter_batched,2,2,0.000113
counter_batched,2,3,0.000105
counter_batched,2,4,0.000088
counter_batched,2,5,0.000073
counter_batched,4,1,0.000239
counter_batched,4,2,0.000121
counter_batched,4,3,0.000156
counter_batched,4,4,0.000135
counter_batched,4,5,0.000193
counter_batched,8,1,0.000237
counter_batched,8,2,0.000429
counter_batched,8,3,0.000307
counter_batched,8,4,0.000176
counter_batched,8,5,0.000241
counter_batched,16,1,0.000306
counter_batched,16,2,0.000302
counter_batched,16,3,0.000565
counter_batched,16,4,0.000656
counter_batched,16,5,0.000706
counter_atomic_relaxed,1,1,0.049223
counter_atomic_relaxed,1,2,0.049094
counter_atomic_relaxed,1,3,0.050462
counter_atomic_relaxed,1,4,0.048472
counter_atomic_relaxed,1,5,0.050497
counter_atomic_relaxed,2,1,0.384781
counter_atomic_relaxed,2,2,0.392228
counter_atomic_relaxed,2,3,0.255553
counter_atomic_relaxed,2,4,0.412058
counter_atomic_relaxed,2,5,0.395135
counter_atomic_relaxed,4,1,0.825090
counter_atomic_relaxed,4,2,0.679348
counter_atomic_relaxed,4,3,0.786939
counter_atomic_relaxed,4,4,0.832602
counter_atomic_relaxed,4,5,0.680790
counter_atomic_relaxed,8,1,2.109527
counter_atomic_relaxed,8,2,1.440397
counter_atomic_relaxed,8,3,2.046121
counter_atomic_relaxed,8,4,2.094504
counter_atomic_relaxed,8,5,1.903558
counter_atomic_relaxed,16,1,3.107316
counter_atomic_relaxed,16,2,3.719546
counter_atomic_relaxed,16,3,4.319860
counter_atomic_relaxed,16,4,3.224753
counter_atomic_relaxed,16,5,4.806800
counter_atomic_seqcst,1,1,0.048225
counter_atomic_seqcst,1,2,0.049864
counter_atomic_seqcst,1,3,0.048540
counter_atomic_seqcst,1,4,0.056855
counter_atomic_seqcst,1,5,0.049385
counter_atomic_seqcst,2,1,0.278635
counter_atomic_seqcst,2,2,0.398003
counter_atomic_seqcst,2,3,0.271044
counter_atomic_seqcst,2,4,0.343585
counter_atomic_seqcst,2,5,0.384613
counter_atomic_seqcst,4,1,0.619594
counter_atomic_seqcst,4,2,0.893687
counter_atomic_seqcst,4,3,0.761900
counter_atomic_seqcst,4,4,0.816622
counter_atomic_seqcst,4,5,0.747297
counter_atomic_seqcst,8,1,1.530271
counter_atomic_seqcst,8,2,2.135652
counter_atomic_seqcst,8,3,2.292567
counter_atomic_seqcst,8,4,1.431573
counter_atomic_seqcst,8,5,2.125717
counter_atomic_seqcst,16,1,3.089069
counter_atomic_seqcst,16,2,3.687177
counter_atomic_seqcst,16,3,4.537400
counter_atomic_seqcst,16,4,4.076368
counter_atomic_seqcst,16,5,4.654257
counter_spin,1,1,0.089988
counter_spin,1,2,0.089810
counter_spin,1,3,0.086037
counter_spin,1,4,0.087804
counter_spin,1,5,0.087082
counter_spin,2,1,0.652931
counter_spin,2,2,0.667779
counter_spin,2,3,0.600829
counter_spin,2,4,0.684232
counter_spin,2,5,0.652348
counter_spin,4,1,2.503909
counter_spin,4,2,2.685220
counter_spin,4,3,2.530058
counter_spin,4,4,2.080114
counter_spin,4,5,1.993018
counter_spin,8,1,9.125700
counter_spin,8,2,5.734169
counter_spin,8,3,6.334237
counter_spin,8,4,4.163202
counter_spin,8,5,5.562547
counter_spin,16,1,25.451661
counter_spin,16,2,12.567903
counter_spin,16,3,10.584217
counter_spin,16,4,26.813032
counter_spin,16,5,10.738234
