program,threads,run,time_sec
counter_spin,1,1,0.089988
counter_spin,1,2,0.089810
counter_spin,1,3,0.086037
counter_spin,1,4,0.087804
counter_spin,1,5,0.087082
counter_spin,2,1,0.652931
counter_spin,2,2,0.667779
counter_spin,2,3,0.600829
counter_spin,2,4,0.684232
counter_spin,2,5,0.652348
counter_spin,4,1,2.503909
counter_spin,4,2,2.685220
counter_spin,4,3,2.530058
counter_spin,4,4,2.080114
counter_spin,4,5,1.993018
counter_spin,8,1,9.125700
counter_spin,8,2,5.734169
counter_spin,8,3,6.334237
counter_spin,8,4,4.163202
counter_spin,8,5,5.562547
counter_spin,16,1,25.451661
counter_spin,16,2,12.567903
counter_spin,16,3,10.584217
counter_spin,16,4,26.813032
counter_spin,16,5,10.738234
